policy_id,date,policy_type,region,channel,premium_amount,claim_amount,csat_score,nps_score,fcr_flag,ticket_resolution_hrs,loss_ratio
121,2023-04-22,Health,West,Agent,7939.08,1734.15,3.6,87,1,31.7,0.218
122,2023-07-06,Auto,West,Direct,25878.43,2717.98,4.7,97,1,52.7,0.105
123,2023-10-19,Life,North,Direct,17058.58,1858.96,4.2,-78,0,6.6,0.109
124,2023-08-15,Health,East,Direct,8834.09,1242.11,3.9,-99,0,8.8,0.141
125,2023-05-25,Health,North,Agent,15026.87,1657.38,4.4,24,0,8.1,0.11
126,2023-03-29,Auto,East,Agent,21987.57,4316.51,4.8,-98,1,51.0,0.196
127,2023-03-03,Travel,West,Agent,11403.01,10082.040088898477,4.1,99,1,9.5,0.884
128,2023-08-15,Home,West,Agent,17181.77,4111.89,3.5,-8,0,7.0,0.239
129,2023-10-24,Auto,East,Agent,32356.8,3879.48,4.0,86,1,6.1,0.12
130,2023-02-13,Travel,West,Direct,13030.35,3129.05,4.3,43,1,10.2,0.24
131,2023-07-04,Home,North,Direct,10079.39,3047.73,4.1,90,1,1.1,0.302
132,2023-04-24,Health,East,Partner,26702.57,1091.39,4.1,-98,1,23.2,0.041
133,2023-10-02,Life,North,Direct,11824.43,1295.91,4.6,-24,1,15.5,0.11
134,2023-03-26,Travel,South,Agent,9718.3,3489.62,3.7,-58,1,29.3,0.359
135,2023-07-22,Auto,North,Agent,17999.98,2978.25,4.7,-91,1,8.2,0.165
136,2023-02-13,Life,South,Agent,21257.79,5186.55,2.3,75,1,11.8,0.244
137,2023-05-17,Travel,South,Partner,14090.16,2934.57,3.8,-71,0,25.3,0.208
138,2023-02-03,Life,East,Direct,6375.52,2101.82,3.3,-1,1,5.2,0.33
139,2023-05-02,Health,East,Partner,8931.93,2105.41,3.5,-34,1,66.1,0.236
140,2023-02-13,Auto,East,Agent,28227.73,2578.51,3.4,0,1,13.2,0.091
141,2023-01-20,Travel,East,Partner,13470.85,1738.77,3.6,99,1,6.7,0.129
142,2023-12-08,Auto,North,Partner,13770.68,447.89,3.2,-51,0,9.9,0.033
143,2023-11-02,Health,South,Partner,21913.77,3810.03,4.8,-22,1,0.9,0.174
144,2023-09-21,Travel,South,Agent,9575.47,3195.93,3.4,-89,0,14.4,0.334
145,2023-11-02,Health,East,Partner,4546.18,1000.51,3.3,4,1,45.0,0.22
146,2023-09-06,Auto,North,Direct,14965.57,19572.706054990882,3.5,-23,0,19.5,1.308
147,2023-11-11,Auto,North,Direct,7716.0,1370.33,4.8,81,0,8.5,0.178
148,2023-10-26,Health,East,Direct,8666.37,2149.64,5.0,-43,1,67.7,0.248
149,2023-11-26,Travel,North,Partner,12310.85,1183.15,3.7,40,1,29.9,0.096
150,2023-11-21,Health,West,Direct,3971.99,1056.32,5.0,-23,1,30.7,0.266
151,2023-12-05,Auto,West,Agent,22432.97,26229.51692381265,4.6,-67,0,0.4,1.169
152,2023-09-24,Home,North,Agent,32450.9,5145.9,2.6,-71,1,79.2,0.159
153,2023-03-09,Home,West,Direct,4471.52,2094.58,4.5,44,0,50.6,0.468
154,2023-08-14,Travel,West,Agent,14303.9,3207.13,3.7,-91,1,25.0,0.224
155,2023-10-13,Auto,North,Agent,6177.76,533.41,3.8,-55,1,14.8,0.086
156,2023-07-06,Health,West,Agent,8110.97,2175.18,4.6,-33,1,26.1,0.268
157,2023-10-18,Home,North,Agent,15017.85,1959.12,3.9,-25,1,6.8,0.13
158,2023-05-23,Home,East,Agent,6599.16,1291.28,3.4,52,1,6.7,0.196
159,2023-01-12,Life,East,Direct,23041.79,5894.44,4.3,-99,0,33.2,0.256
160,2023-12-02,Auto,North,Agent,6675.76,2190.82,4.7,49,1,15.1,0.328
161,2023-01-30,Life,North,Agent,11860.88,1025.97,3.6,-1,1,27.4,0.087
162,2023-12-20,Health,East,Direct,11522.11,1557.72,3.0,45,1,4.6,0.135
163,2023-08-15,Health,West,Agent,8818.98,1433.59,4.3,10,1,8.2,0.163
164,2023-10-09,Auto,East,Partner,10079.31,2449.96,3.6,56,1,98.6,0.243
165,2023-05-06,Home,South,Direct,13457.48,243.92,4.1,-8,1,14.4,0.018
166,2023-07-18,Travel,West,Direct,10137.93,3307.77,3.4,97,1,15.8,0.326
167,2023-04-18,Auto,North,Direct,37400.12,5316.66,4.0,49,1,26.1,0.142
168,2023-04-28,Life,North,Direct,10383.96,1120.78,3.9,-57,0,67.8,0.108
169,2023-10-31,Life,West,Direct,3789.63,441.32,3.5,-87,1,1.9,0.116
170,2023-11-08,Health,East,Direct,3026.7,286.88,4.3,28,1,89.2,0.095
171,2023-08-23,Travel,North,Direct,6630.97,1132.01,4.9,99,1,15.3,0.171
172,2023-01-29,Life,South,Direct,13974.14,1405.47,4.6,26,1,3.5,0.101
173,2023-08-02,Health,West,Agent,9427.08,1542.86,4.0,-76,1,19.6,0.164
174,2023-02-05,Life,East,Direct,16191.0,2295.44,4.4,99,1,3.7,0.142
175,2023-03-28,Travel,East,Agent,16756.38,608.94,5.0,-33,1,44.1,0.036
176,2023-01-11,Auto,East,Agent,21670.47,7693.45,3.4,51,1,80.8,0.355
177,2023-05-06,Life,East,Direct,16757.9,5479.27,3.7,-23,0,17.8,0.327
178,2023-05-02,Home,East,Agent,6979.35,2003.92,3.6,21,1,3.9,0.287
179,2023-05-11,Health,South,Partner,17725.88,3461.36,4.1,61,0,6.2,0.195
180,2023-06-04,Health,East,Partner,5712.75,36.66,3.1,-63,1,2.9,0.006
181,2023-06-03,Auto,West,Direct,14994.7,1439.46,4.2,-33,1,35.0,0.096
182,2023-07-11,Life,South,Direct,13933.2,1268.7,3.4,-19,1,24.6,0.091
183,2023-03-27,Life,West,Agent,10884.3,2080.28,3.1,-84,1,8.3,0.191
184,2023-06-08,Health,East,Agent,19149.61,8060.2,3.7,95,1,78.5,0.421
185,2023-12-15,Auto,South,Direct,17022.13,21023.46929435082,5.0,81,1,98.5,1.235
186,2023-03-24,Travel,West,Agent,7721.85,309.48,3.5,15,1,40.5,0.04
187,2023-07-21,Health,West,Direct,6341.96,1390.06,3.6,-64,1,2.9,0.219
188,2023-06-18,Health,North,Agent,4594.56,1332.68,4.1,-4,1,66.3,0.29
189,2023-04-04,Auto,East,Direct,20416.11,4104.79,3.0,-25,1,51.0,0.201
190,2023-11-03,Life,North,Direct,8994.08,2818.04,3.8,40,1,12.0,0.313
191,2023-06-27,Auto,East,Agent,12606.65,1875.08,4.4,86,1,52.1,0.149
192,2023-11-17,Auto,West,Partner,7129.54,2146.83,4.3,-64,1,45.9,0.301
193,2023-07-03,Travel,South,Agent,8496.81,999.19,4.9,-22,0,155.7,0.118
194,2023-11-29,Travel,East,Direct,12777.93,1462.12,4.3,-53,1,16.8,0.114
195,2023-07-22,Travel,West,Partner,11694.5,17445.82862024749,3.9,0,0,13.3,1.492
196,2023-05-11,Auto,North,Direct,5945.17,292.82,3.7,-46,0,15.7,0.049
197,2023-03-01,Auto,East,Partner,10203.79,2301.67,5.0,48,1,52.7,0.226
198,2023-06-14,Auto,West,Agent,19937.15,2064.21,3.0,-67,1,40.8,0.104
199,2023-03-21,Auto,West,Agent,20070.84,3321.07,4.4,-45,1,73.8,0.165
200,2023-09-21,Travel,North,Partner,8118.79,3075.15,3.3,-32,1,25.1,0.379
201,2023-08-30,Home,West,Direct,30311.7,3074.44,3.4,-60,0,8.3,0.101
202,2023-09-30,Travel,South,Direct,16791.78,3135.87,3.7,-85,0,1.6,0.187
203,2023-06-26,Life,North,Direct,21335.93,5299.04,3.9,39,0,23.1,0.248
204,2023-02-11,Health,West,Direct,25215.11,4441.66,4.8,72,0,30.4,0.176
205,2023-08-28,Life,North,Direct,12026.69,3445.26,4.2,-24,1,20.6,0.286
206,2023-01-17,Auto,South,Agent,8997.76,996.31,4.5,85,1,81.4,0.111
207,2023-11-20,Health,West,Direct,27662.35,1268.74,3.8,66,0,5.4,0.046
208,2023-01-04,Life,North,Direct,11377.31,790.72,5.0,69,1,13.9,0.069
209,2023-01-28,Auto,East,Partner,24863.83,25748.65855504458,4.5,59,0,47.4,1.036
210,2023-09-20,Travel,North,Direct,13727.05,2440.38,4.0,61,1,5.7,0.178
211,2023-02-15,Life,West,Agent,6450.28,1947.37,3.1,49,0,28.0,0.302
212,2023-08-11,Health,South,Agent,25813.93,2345.82,3.2,48,1,6.8,0.091
213,2023-01-09,Travel,North,Agent,25093.61,7537.41,4.5,99,1,42.8,0.3
214,2023-03-15,Health,South,Direct,18328.93,3606.25,3.5,86,1,32.6,0.197
215,2023-07-26,Health,East,Agent,24640.76,5479.31,5.0,38,0,3.0,0.222
216,2023-07-28,Life,South,Direct,7798.81,915.82,3.1,90,0,49.9,0.117
217,2023-11-30,Travel,East,Agent,5785.07,1151.56,4.4,29,1,102.1,0.199
218,2023-05-23,Travel,South,Partner,12942.24,1553.95,3.0,-91,1,20.2,0.12
219,2023-03-26,Health,West,Agent,10084.9,1232.84,4.9,-73,1,2.8,0.122
220,2023-03-17,Auto,East,Direct,10471.2,1959.96,3.5,-13,1,12.1,0.187
221,2023-07-28,Travel,West,Direct,7372.81,1582.2,4.6,-79,1,13.8,0.215
222,2023-04-26,Health,South,Agent,4443.1,6646.928741282646,3.1,19,1,46.7,1.496
223,2023-12-14,Health,East,Direct,9537.05,1508.88,4.3,58,1,124.1,0.158
224,2023-11-12,Auto,East,Agent,14769.97,5087.71,3.9,-58,0,38.3,0.344
225,2023-10-10,Life,South,Direct,5727.5,322.42,3.7,-85,1,10.8,0.056
226,2023-06-18,Auto,West,Agent,9016.64,2707.69,4.6,89,1,0.3,0.3
227,2023-10-06,Auto,North,Agent,7711.27,350.42,3.8,68,1,6.7,0.045
228,2023-01-06,Home,North,Partner,6744.51,1826.43,2.8,-24,1,1.3,0.271
229,2023-06-04,Health,South,Direct,15686.03,5894.1,3.9,43,1,1.6,0.376
230,2023-12-17,Health,South,Direct,11716.16,1161.63,3.2,-23,1,10.3,0.099
231,2023-01-30,Health,North,Direct,8023.85,3113.3,4.8,-67,0,44.3,0.388
232,2023-08-23,Health,North,Direct,17844.28,3139.25,3.7,89,1,14.9,0.176
233,2023-05-15,Health,West,Direct,17387.65,7459.91,3.7,-23,1,41.6,0.429
234,2023-10-30,Health,West,Direct,8320.87,2631.05,4.1,73,0,17.2,0.316
235,2023-04-29,Travel,North,Agent,7552.42,740.5,4.1,-44,1,37.3,0.098
236,2023-05-14,Home,South,Direct,10461.46,1572.07,3.3,-97,1,14.2,0.15
237,2023-09-03,Health,East,Direct,5869.86,2653.33,3.4,9,1,1.1,0.452
238,2023-01-23,Life,East,Direct,10186.98,850.7,4.1,85,0,4.3,0.084
239,2023-04-28,Auto,South,Direct,10441.84,3432.85,3.7,-66,1,7.1,0.329
240,2023-04-19,Life,North,Partner,18540.98,2883.97,4.5,0,0,41.8,0.156
241,2023-12-23,Life,South,Direct,5187.94,90.84,4.1,48,0,17.0,0.018
242,2023-07-19,Auto,West,Direct,14567.75,1524.73,5.0,99,1,19.5,0.105
243,2023-01-13,Life,East,Direct,9085.25,710.3,3.3,30,0,3.9,0.078
244,2023-11-02,Home,South,Direct,30190.15,2975.48,4.2,70,1,0.4,0.099
245,2023-11-09,Travel,South,Direct,14231.16,1950.71,3.8,-4,1,51.7,0.137
246,2023-04-15,Health,West,Direct,6311.03,7162.320725900965,5.0,42,1,4.3,1.135
247,2023-07-18,Life,West,Agent,6984.83,855.93,4.0,-44,1,65.9,0.123
248,2023-07-03,Auto,West,Direct,4607.27,1269.89,4.5,-86,0,1.3,0.276
249,2023-07-17,Life,East,Agent,1353.3,347.34,5.0,-33,1,0.7,0.257
250,2023-05-12,Travel,North,Direct,7534.23,1688.8,3.8,53,0,16.9,0.224
251,2023-11-16,Auto,East,Partner,7489.06,3854.45,3.8,-72,0,0.8,0.515
252,2023-07-02,Travel,North,Partner,6078.83,2451.12,4.4,10,1,12.0,0.403
253,2023-08-13,Life,West,Partner,5934.93,537.82,4.3,-84,1,5.3,0.091
254,2023-04-03,Life,East,Agent,14552.32,7112.48,3.3,-27,0,2.7,0.489
255,2023-02-05,Health,North,Direct,26884.91,9098.19,4.8,33,1,9.5,0.338
256,2023-05-25,Life,West,Direct,20606.34,5402.74,5.0,58,0,22.4,0.262
257,2023-05-21,Auto,South,Direct,12638.88,1219.45,4.4,-3,1,7.5,0.096
258,2023-07-18,Home,East,Direct,15537.33,653.5,4.4,29,1,46.4,0.042
259,2023-03-20,Auto,South,Direct,21047.55,5963.71,4.0,22,1,39.7,0.283
260,2023-06-01,Life,South,Partner,4701.48,811.07,3.6,17,1,22.2,0.173
261,2023-06-02,Travel,North,Agent,14532.24,6274.2,4.0,-44,1,5.0,0.432
262,2023-06-29,Health,South,Direct,5404.68,1192.35,4.7,-94,1,57.3,0.221
263,2023-06-06,Auto,West,Direct,11679.35,1424.5,3.4,95,0,21.6,0.122
264,2023-11-02,Travel,North,Partner,14615.71,2716.18,3.5,52,1,0.8,0.186
265,2023-07-18,Home,North,Agent,13262.05,3945.46,4.4,-3,0,8.6,0.298
266,2023-06-18,Health,East,Agent,5458.7,2449.11,4.5,-66,1,3.9,0.449
267,2023-08-02,Home,East,Partner,41424.17,2223.49,3.7,18,1,24.4,0.054
268,2023-12-06,Home,South,Partner,6598.78,708.57,3.7,31,0,18.3,0.107
269,2023-12-14,Life,North,Partner,13897.36,749.26,3.5,39,0,24.6,0.054
270,2023-10-19,Home,North,Direct,10423.78,1253.61,3.9,-59,1,48.4,0.12
271,2023-09-21,Life,South,Direct,39609.98,20708.16,3.1,-79,1,102.9,0.523
272,2023-11-04,Home,South,Direct,14858.78,3503.43,3.8,-90,1,57.6,0.236
273,2023-05-23,Health,West,Direct,24500.09,972.91,3.2,-89,0,2.3,0.04
274,2023-06-07,Health,East,Direct,30429.07,4756.56,3.6,43,1,17.5,0.156
275,2023-06-21,Health,North,Direct,10622.43,1471.36,4.3,75,1,10.7,0.139
276,2023-01-02,Travel,South,Direct,14877.53,3311.85,4.0,-14,0,12.8,0.223
277,2023-03-21,Health,East,Direct,16388.18,2807.26,4.7,-10,0,22.8,0.171
278,2023-11-01,Auto,North,Partner,4042.03,834.16,3.2,9,0,49.2,0.206
279,2023-07-21,Health,East,Direct,9893.09,1249.57,5.0,10,0,38.6,0.126
280,2023-08-29,Health,South,Direct,20331.83,5813.09,4.1,25,0,10.1,0.286
281,2023-08-21,Home,West,Direct,19399.28,3722.33,3.4,-19,1,26.6,0.192
282,2023-10-22,Auto,South,Agent,9403.3,836.12,4.0,-52,1,7.6,0.089
283,2023-07-26,Auto,North,Partner,17149.51,2581.83,3.7,17,1,11.8,0.151
284,2023-11-23,Travel,East,Direct,20553.95,7511.05,4.0,95,0,2.7,0.365
285,2023-10-21,Health,West,Partner,15216.12,3482.39,4.3,55,0,63.2,0.229
286,2023-10-10,Life,North,Agent,27040.12,1765.52,3.6,77,0,28.3,0.065
287,2023-09-22,Auto,North,Agent,14452.78,952.96,4.6,12,1,32.2,0.066
288,2023-09-07,Auto,South,Partner,11894.12,2589.26,5.0,-22,1,0.1,0.218
289,2023-10-14,Auto,South,Agent,11809.62,1921.17,3.7,-99,0,2.5,0.163
290,2023-08-11,Health,West,Direct,9467.53,1411.15,3.1,98,1,21.7,0.149
291,2023-01-12,Auto,North,Direct,14073.11,2401.46,2.9,-79,1,1.7,0.171
292,2023-06-13,Auto,South,Agent,11739.47,832.07,4.4,-6,1,1.6,0.071
293,2023-12-07,Travel,North,Direct,15007.75,1979.15,4.4,25,0,4.6,0.132
294,2023-12-05,Travel,North,Partner,18380.24,4132.43,3.5,-37,1,7.1,0.225
295,2023-01-13,Health,South,Direct,20092.12,4053.05,3.8,11,1,11.9,0.202
296,2023-05-17,Auto,East,Direct,25198.62,1659.47,3.0,97,1,14.7,0.066
297,2023-03-27,Auto,West,Direct,9271.34,3137.25,3.8,34,1,34.7,0.338
298,2023-08-21,Life,West,Direct,9406.46,989.03,4.4,-9,1,39.4,0.105
299,2023-07-26,Life,North,Partner,15961.51,67.19,4.1,3,1,26.1,0.004
300,2023-08-31,Health,South,Direct,9450.31,2364.8,3.0,-61,1,71.6,0.25
301,2023-01-15,Life,West,Agent,15324.07,3847.63,4.2,-94,1,7.6,0.251
302,2023-04-24,Auto,West,Direct,19834.42,5037.53,3.3,100,0,73.5,0.254
303,2023-09-02,Auto,East,Partner,12912.64,676.03,3.0,41,1,7.3,0.052
304,2023-04-07,Health,East,Partner,22574.0,24249.011821573888,4.4,44,1,55.0,1.074
305,2023-09-11,Health,South,Partner,4977.01,562.33,4.5,-15,1,66.0,0.113
306,2023-12-24,Life,West,Direct,13470.04,3864.47,3.9,56,1,3.3,0.287
307,2023-07-06,Auto,West,Direct,26064.18,5211.12,3.4,26,1,3.8,0.2
308,2023-12-30,Auto,East,Direct,12411.82,4432.75,3.6,-37,1,6.5,0.357
309,2023-01-20,Home,South,Direct,9901.53,2875.26,4.7,-30,1,50.7,0.29
